bits,value
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.968000000000000131e-03
6.000000000000000000e+00,6.766666666666666663e-02
7.000000000000000000e+00,9.042857142857142760e-02
8.000000000000000000e+00,9.450000000000000067e-02
9.000000000000000000e+00,8.855555555555555403e-02
1.000000000000000000e+01,7.920000000000000651e-02
1.100000000000000000e+01,5.945454545454545436e-02
1.200000000000000000e+01,5.958333333333332843e-02
1.300000000000000000e+01,5.861538461538461781e-02
1.400000000000000000e+01,4.399999999999999745e-02
1.500000000000000000e+01,4.619999999999999801e-02
1.600000000000000000e+01,3.874999999999999972e-02
1.700000000000000000e+01,3.964705882352941718e-02
1.800000000000000000e+01,3.461111111111111333e-02
1.900000000000000000e+01,3.784210526315789219e-02
2.000000000000000000e+01,3.230000000000000232e-02
2.100000000000000000e+01,3.704761904761905145e-02
2.200000000000000000e+01,3.018181818181818465e-02
2.300000000000000000e+01,3.473913043478261270e-02
2.400000000000000000e+01,2.712499999999999981e-02
2.500000000000000000e+01,2.996000000000000052e-02
2.600000000000000000e+01,2.607692307692307740e-02
2.700000000000000000e+01,2.959259259259259395e-02
2.800000000000000000e+01,2.853571428571428578e-02
3.000000000000000000e+01,2.389999999999999764e-02
3.100000000000000000e+01,2.422580645161290236e-02
3.200000000000000000e+01,2.315624999999999975e-02
