bits,delta
3.100000000000000000e+01,1.059999999999999831e-01
3.000000000000000000e+01,-1.969999999999999529e-01
2.900000000000000000e+01,3.799999999999992273e-02
2.800000000000000000e+01,-7.399999999999995470e-02
2.700000000000000000e+01,-2.000000000000001776e-03
2.600000000000000000e+01,1.009999999999999787e-01
2.500000000000000000e+01,-1.009999999999999787e-01
2.400000000000000000e+01,6.499999999999994671e-02
2.300000000000000000e+01,7.000000000000006217e-03
2.200000000000000000e+01,1.100000000000000422e-01
2.100000000000000000e+01,-1.070000000000000395e-01
2.000000000000000000e+01,2.700000000000002398e-02
1.900000000000000000e+01,-9.899999999999997691e-02
1.800000000000000000e+01,1.330000000000000071e-01
1.700000000000000000e+01,-1.360000000000000098e-01
1.600000000000000000e+01,5.500000000000004885e-02
1.500000000000000000e+01,-5.500000000000004885e-02
1.400000000000000000e+01,8.299999999999996270e-02
1.300000000000000000e+01,3.800000000000003375e-02
1.200000000000000000e+01,-6.799999999999994937e-02
1.100000000000000000e+01,5.399999999999993694e-02
1.000000000000000000e+01,-9.799999999999997602e-02
9.000000000000000000e+00,-7.000000000000006217e-03
8.000000000000000000e+00,3.000000000000002665e-03
7.000000000000000000e+00,3.000000000000002665e-02
6.000000000000000000e+00,6.599999999999994760e-02
5.000000000000000000e+00,4.548000000000000376e-01
4.000000000000000000e+00,6.572499999999999176e-02
3.000000000000000000e+00,4.749999999999999990e-04
2.000000000000000000e+00,0.000000000000000000e+00
