bits,pct_error
2.000000000000000000e+00,9.965262422587144897e+01
3.000000000000000000e+00,9.536483416901552346e+01
4.000000000000000000e+00,8.084291528093623924e+01
5.000000000000000000e+00,5.959458094548413953e+01
6.000000000000000000e+00,3.955187517253153828e+01
7.000000000000000000e+00,2.465396314401199618e+01
8.000000000000000000e+00,1.476444705553791081e+01
9.000000000000000000e+00,8.604097231863972794e+00
1.000000000000000000e+01,4.918709406716360810e+00
1.100000000000000000e+01,2.770167251956713983e+00
1.200000000000000000e+01,1.541519091143347620e+00
1.300000000000000000e+01,8.487534326411544372e-01
1.400000000000000000e+01,4.652957995022201088e-01
1.500000000000000000e+01,2.525700375775932205e-01
1.600000000000000000e+01,1.364880690948301889e-01
1.700000000000000000e+01,7.308167283252668678e-02
1.800000000000000000e+01,3.945689903724374642e-02
1.900000000000000000e+01,2.061165703788206405e-02
2.000000000000000000e+01,1.064153898843315203e-02
2.100000000000000000e+01,5.344427565802486145e-03
2.200000000000000000e+01,2.478664254979357721e-03
2.300000000000000000e+01,1.252045322659837891e-03
2.400000000000000000e+01,6.470483635426074786e-04
2.500000000000000000e+01,3.257283589073024332e-04
2.600000000000000000e+01,1.665634406538068167e-04
2.700000000000000000e+01,7.892070778829158228e-05
2.800000000000000000e+01,3.964508712191001862e-05
2.900000000000000000e+01,1.998046123751367239e-05
3.000000000000000000e+01,1.003938318859049586e-05
3.100000000000000000e+01,4.961373301022891144e-06
3.200000000000000000e+01,2.754492639919885121e-06
